ticker,caps_count,lower_count,caps_share,zipf,decided_by,classification
ACIO,0,0,,0.0,wordfreq,normal
ACIU,8,0,1.0,0.0,wordfreq,normal
ACIW,3,1,0.75,0.0,wordfreq,normal
ACKY,0,0,,0.0,wordfreq,normal
ACLC,0,0,,0.0,wordfreq,normal
ACLO,0,0,,0.0,wordfreq,normal
ACLS,4,2,0.667,2.32,wordfreq,normal
ACLZ,0,0,,0.0,wordfreq,normal
ACMM,0,0,,0.0,wordfreq,normal
ACMR,2,0,1.0,0.0,wordfreq,normal
ACNB,0,0,,0.0,wordfreq,normal
ACNT,0,0,,0.0,wordfreq,normal
ACOG,2,0,1.0,2.08,wordfreq,normal
ACOM,0,0,,1.2,wordfreq,normal
ACON,0,0,,1.68,wordfreq,normal
ACONW,0,0,,0.0,wordfreq,normal
ACRE,1,40,0.024,3.93,case_ratio,cashtag_only
ACRS,5,0,1.0,1.3,wordfreq,normal
ACRV,1,0,1.0,0.0,wordfreq,normal
ACSG,0,0,,0.0,wordfreq,normal
ACSI,0,0,,1.83,wordfreq,normal
ACSV,0,0,,0.0,wordfreq,normal
ACTG,1,0,1.0,1.29,wordfreq,normal
ACTS,0,91,0.0,4.64,case_ratio,cashtag_only
ACTU,0,0,,2.42,wordfreq,normal
ACVA,1,0,1.0,0.0,wordfreq,normal
ACVF,0,0,,0.0,wordfreq,normal
ACVT,0,0,,0.0,wordfreq,normal
ACVU,0,0,,0.0,wordfreq,normal
ACWI,12,0,1.0,0.0,wordfreq,normal
ACWV,1,0,1.0,0.0,wordfreq,normal
ACWX,4,0,1.0,0.0,wordfreq,normal
ACXP,0,0,,0.0,wordfreq,normal
ACYN,0,0,,0.0,wordfreq,normal
ACYQ,0,0,,0.0,wordfreq,normal
ACYS,0,0,,0.0,wordfreq,normal
ADAC,3,1,0.75,1.95,wordfreq,normal
ADACU,0,0,,0.0,wordfreq,normal
ADACW,0,0,,0.0,wordfreq,normal
ADAG,1,0,1.0,0.0,wordfreq,normal
ADAM,1,108,0.009,4.57,case_ratio,cashtag_only
ADAMG,0,0,,0.0,wordfreq,normal
ADAMH,0,0,,0.0,wordfreq,normal
ADAMI,0,8,0.0,1.85,wordfreq,normal
ADAML,0,0,,0.0,wordfreq,normal
ADAMM,0,0,,0.0,wordfreq,normal
ADAMN,0,0,,0.0,wordfreq,normal
ADAMO,0,0,,1.99,wordfreq,normal
ADAMZ,0,0,,0.0,wordfreq,normal
ADBE,304,25,0.924,1.05,case_ratio,normal
ADBG,0,0,,0.0,wordfreq,normal
ADBU,0,0,,0.0,wordfreq,normal
ADCT,1,0,1.0,0.0,wordfreq,normal
ADDS,4,409,0.01,4.38,case_ratio,cashtag_only
ADEA,0,0,,1.59,wordfreq,normal
ADFI,0,0,,0.0,wordfreq,normal
ADGM,0,0,,0.0,wordfreq,normal
ADIL,8,0,1.0,2.56,wordfreq,normal
ADIU,0,0,,0.0,wordfreq,normal
ADIV,0,0,,0.0,wordfreq,normal
ADMA,8,5,0.615,1.47,wordfreq,normal
ADME,0,0,,1.36,wordfreq,normal
ADNT,8,0,1.0,0.0,wordfreq,normal
ADPT,5,0,1.0,0.0,wordfreq,normal
ADPV,1,1,0.5,0.0,wordfreq,normal
ADSE,0,0,,0.0,wordfreq,normal
ADSEW,0,0,,0.0,wordfreq,normal
ADSK,89,2,0.978,0.0,case_ratio,normal
ADTN,4,0,1.0,0.0,wordfreq,normal
ADUR,1,0,1.0,1.38,wordfreq,normal
ADUS,0,2,0.0,1.26,wordfreq,normal
ADVB,0,0,,0.0,wordfreq,normal
ADVE,0,3,0.0,1.13,wordfreq,normal
ADXN,1,0,1.0,0.0,wordfreq,normal
AEAQ,0,0,,0.0,wordfreq,normal
AEAQU,0,0,,0.0,wordfreq,normal
AEAQW,0,0,,0.0,wordfreq,normal
AEBI,0,0,,1.15,wordfreq,normal
AEFC,0,0,,0.0,wordfreq,normal
AEHG,0,0,,0.0,wordfreq,normal
AEHL,1,0,1.0,0.0,wordfreq,normal
AEHR,4,0,1.0,0.0,wordfreq,normal
AEIS,3,0,1.0,0.0,wordfreq,normal
AEMD,13,4,0.765,0.0,wordfreq,normal
AEMS,0,0,,0.0,wordfreq,normal
AENT,0,0,,0.0,wordfreq,normal
AENTW,0,0,,0.0,wordfreq,normal
AEON,22,3,0.88,2.64,wordfreq,normal
AERO,1,12,0.077,3.33,wordfreq,normal
AERT,0,0,,1.22,wordfreq,normal
AERTW,0,0,,0.0,wordfreq,normal
AESI,0,0,,0.0,wordfreq,normal
AESP,0,0,,0.0,wordfreq,normal
AESPR,0,0,,0.0,wordfreq,normal
AESPU,0,0,,0.0,wordfreq,normal
AESPW,0,0,,0.0,wordfreq,normal
AESR,0,0,,0.0,wordfreq,normal
AETH,0,0,,1.05,wordfreq,normal
AEVA,1,1,0.5,0.0,wordfreq,normal
AEXA,0,0,,0.0,wordfreq,normal
AEYE,5,0,1.0,0.0,wordfreq,normal
AFBI,0,0,,0.0,wordfreq,normal
AFCG,11,0,1.0,0.0,wordfreq,normal
AFGB,0,0,,0.0,wordfreq,normal
AFGC,0,0,,0.0,wordfreq,normal
AFGD,0,0,,0.0,wordfreq,normal
AFGE,0,0,,1.85,wordfreq,normal
AFGR,0,0,,0.0,wordfreq,normal
AFIF,0,0,,1.61,wordfreq,normal
AFIX,0,0,,0.0,wordfreq,normal
AFJK,0,0,,0.0,wordfreq,normal
AFJKR,0,0,,0.0,wordfreq,normal
AFJKU,0,0,,0.0,wordfreq,normal
AFLG,0,0,,0.0,wordfreq,normal
AFMC,0,0,,1.24,wordfreq,normal
AFOS,0,0,,1.36,wordfreq,normal
AFRI,0,0,,1.85,wordfreq,normal
AFRIW,0,0,,0.0,wordfreq,normal
AFRM,34,3,0.919,0.0,case_ratio,normal
AFRU,0,0,,0.0,wordfreq,normal
